acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,latitude,longitude
3910,,Slight,1,1,02/01/2010,Saturday,2,January,10,14,4,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,A,901,Daylight: street lights present,Other,Dry,None,None,No overtaking,326450,676770,531316,Junction,Pedestrian,344596,unset,EH66NF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.97831745,-3.178779625
4810,,Slight,3,1,15/12/2010,Wednesday,15,December,10,12,0,230,A,8,Unknown,30,'T' or staggered junction,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325360,673870,521052,Junction,Bus,362218,unset,EH22ER,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.95209607,-3.195441176
9910,,Slight,1,2,04/01/2010,Monday,4,January,10,8,40,230,A,8,Dual carriageway - 2 lanes,60,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Snowing (without high winds),Dry,None,None,No overtaking,314880,672430,550749,Segment,S.V.N.P.,344597,unset,EH288NQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93741804,-3.362785281
12810,,Slight,4,1,05/01/2010,Tuesday,5,January,10,11,5,230,Motorway,8,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Other,Dry,None,None,No overtaking,318230,670880,6452983,Segment,M.V.N.P.,344598,unset,EH129BU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.92407504,-3.308697813
16710,,Slight,2,1,04/01/2010,Monday,4,January,10,10,50,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Snowing (without high winds),Dry,None,None,No overtaking,326680,674500,557713,Segment,T.V.N.P.,344599,unset,EH75EA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.95795917,-3.174476338
18310,,Slight,2,1,07/01/2010,Thursday,7,January,10,10,29,230,Unclassified,,Dual carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Snowing (without high winds),Dry,None,None,No overtaking,312600,672690,550791,Segment,T.V.N.P.,344600,unset,EH288SY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93934461,-3.399360587
19510,,Slight,1,1,06/01/2010,Wednesday,6,January,10,8,20,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Snowing (without high winds),Dry,None,None,No overtaking,322960,675680,559982,Segment,Pedestrian,344601,unset,EH42NT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.96797782,-3.234387397
20610,,Slight,2,1,06/01/2010,Wednesday,6,January,10,16,50,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Snowing (without high winds),Dry,None,None,No overtaking,320500,671750,522135,Junction,T.V.N.P.,344602,unset,EH113NR,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.93227133,-3.272633699
21710,,Slight,3,1,02/01/2010,Saturday,2,January,10,16,4,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Snowing (without high winds),Dry,Automatic Traffic Signal partially defective,None,No overtaking,312720,678390,3948324,Junction,M.V.N.P.,344603,unset,EH309RF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9905702,-3.399286683
22910,,Slight,2,1,09/01/2010,Saturday,9,January,10,9,15,230,Unclassified,,Single carriageway - 2 lanes,60,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Snowing (without high winds),Dry,None,None,No overtaking,312150,668670,12231401,Segment,T.V.N.P.,344604,unset,EH278BBA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9031503,-3.405255762
